,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
SecessionBulding&EinsteinTower,07_ArtNouveau,09_Expressionist,33.73328618,12.38815142,40.94858291,10.68998461,45.31370143,5.070746008,82.77704716,37,0.331824541,0.362071715,0.397307158,0.483977514,0.466860265
SecessionBulding&Goetheanum,07_ArtNouveau,09_Expressionist,35.01032349,10.89500754,40.3712167,12.35763464,50.11741197,5.272580028,84.09281373,59,0.413235381,0.228233438,0.39309445,0.450090401,0.266284645
SecessionBulding&HetSchip,07_ArtNouveau,09_Expressionist,29.0883657,8.421986472,32.44108731,8.350979838,53.64739749,4.583356003,92.54307747,49,0.316756383,0.346894093,0.430969169,0.473602223,0.343532801
CasaBatllo&EquitableBuilding,07_ArtNouveau,10_International,17.88288909,9.805555788,24.79651415,12.62575454,46.79395239,5.3107147,90.35883546,170,0.232683033,0.288294166,0.324507758,0.453085389,0.216517597
CasaBatllo&Glaspaleis,07_ArtNouveau,10_International,25.10529641,12.55394238,29.16302609,14.13203761,39.98278153,17.48106481,94.41316128,99,0.28723146,0.218171818,0.291210204,0.438274162,0.339798272
CasaBatllo&Kiefhoek,07_ArtNouveau,10_International,27.42518525,12.42529589,31.59727485,11.54882358,43.99372363,6.204165511,84.61009264,98,0.231970772,0.208616354,0.323051203,0.34299717,0.133667916
CasaBatllo&SeagramBuilding,07_ArtNouveau,10_International,18.98378559,9.386364321,23.15894011,12.73550732,47.83667829,5.269042592,92.40341783,95,0.247801919,0.219896287,0.337639983,0.4511071,0.264898092
CastelBeranger&EquitableBuilding,07_ArtNouveau,10_International,13.14811205,18.9647334,23.99124215,16.49840817,28.57295955,4.796092592,85.97991467,165,0.24465749,0.326100059,0.485558361,0.617092139,0.226378813
CastelBeranger&Glaspaleis,07_ArtNouveau,10_International,11.15014084,12.3602793,30.63405428,12.46319477,12.29314639,28.06066711,91.45072699,142,0.312432311,0.258236676,0.296594873,0.543654085,0.428739965
CastelBeranger&Kiefhoek,07_ArtNouveau,10_International,14.30950037,13.01529745,30.98609073,13.18508287,33.17897998,4.88489218,86.09420061,141,0.193071127,0.207555085,0.406880945,0.430820218,0.153979078
CastelBeranger&SeagramBuilding,07_ArtNouveau,10_International,11.55122904,18.92990705,27.93064482,15.55152753,27.58194747,5.009740036,93.4351027,132,0.285019331,0.253238484,0.491072739,0.586847377,0.310373545
HotelTassel&EquitableBuilding,07_ArtNouveau,10_International,23.99384233,9.218159021,25.22667589,12.02327949,47.15565873,6.433596184,91.46876335,158,0.253139786,0.354233526,0.497102544,0.3992709,0.218763277
HotelTassel&Glaspaleis,07_ArtNouveau,10_International,26.05141958,10.99272704,30.84282548,10.03435044,41.29750135,20.24488989,96.44408822,39,0.336366348,0.314134754,0.349215686,0.402042201,0.469513118
HotelTassel&Kiefhoek,07_ArtNouveau,10_International,30.02637811,11.29173328,32.73341356,11.00726798,44.03452777,7.041295786,86.00107431,32,0.233095959,0.356662177,0.417735308,0.303765218,0.234278649
HotelTassel&SeagramBuilding,07_ArtNouveau,10_International,20.09245667,10.50555848,25.48985591,14.75337542,50.13337391,6.058746569,94.44007277,59,0.285365798,0.323926762,0.497051746,0.423010116,0.313658893
SecessionBulding&EquitableBuilding,07_ArtNouveau,10_International,33.12971128,15.41034316,38.94649309,6.712621439,46.33012286,4.694833362,85.85909605,158,0.269507945,0.344918206,0.515747897,0.532676478,0.198739737
SecessionBulding&Glaspaleis,07_ArtNouveau,10_International,24.91376774,13.50917502,39.90834502,10.1906655,26.70834257,25.85403126,90.42304158,39,0.302101038,0.324893097,0.377654046,0.419026241,0.423316926
SecessionBulding&Kiefhoek,07_ArtNouveau,10_International,33.2815634,12.57248481,46.60890625,7.208362278,49.66407466,4.595644175,84.99102592,32,0.286093131,0.349567652,0.466541845,0.366647961,0.188501343
SecessionBulding&SeagramBuilding,07_ArtNouveau,10_International,27.17116438,16.42305027,31.26805937,15.22840133,43.56626253,5.014660592,91.12235308,59,0.265189387,0.331522107,0.537583411,0.426241342,0.281484276
CasaBatllo&AntwerpPortHouse,07_ArtNouveau,11_Deconstructivism,27.14190384,12.3665394,31.59439227,12.31313087,54.00753471,5.196853398,93.04364324,101,0.277907677,0.265065391,0.309053342,0.480125019,0.329113722
CasaBatllo&CctvHeadquarter,07_ArtNouveau,11_Deconstructivism,26.31819806,9.706306167,26.14330193,12.76854667,52.25092724,5.493925555,87.65880466,856,0.239216901,0.25697716,0.282282983,0.367736197,0.225402817
CasaBatllo&GuggenheimMuseum,07_ArtNouveau,11_Deconstructivism,27.86111204,12.73088682,26.2405235,15.43700105,48.78334346,5.096696683,92.39822626,147,0.208846129,0.278459609,0.431929335,0.493393103,0.299975902
CasaBatllo&JewishMuseum,07_ArtNouveau,11_Deconstructivism,25.87264133,12.27527786,31.73971143,19.03403195,53.24386009,5.358654247,87.44859099,155,0.262208391,0.278684128,0.325434998,0.41682369,0.226538911
CastelBeranger&AntwerpPortHouse,07_ArtNouveau,11_Deconstructivism,14.77648532,11.82500407,28.73403428,15.64171059,36.52564346,5.083328472,85.38726568,134,0.261278152,0.192643553,0.379759535,0.636194218,0.28685534
CastelBeranger&CctvHeadquarter,07_ArtNouveau,11_Deconstructivism,13.85593389,15.5496104,28.99632659,13.57704626,35.91228374,5.225975315,82.96083808,847,0.249057818,0.235383384,0.476707986,0.57781281,0.195948899
CastelBeranger&GuggenheimMuseum,07_ArtNouveau,11_Deconstructivism,14.51144152,12.05295068,26.7111395,15.76034458,31.32438736,4.682129263,83.0327034,136,0.189510882,0.294069275,0.368330464,0.54681567,0.187773511
CastelBeranger&JewishMuseum,07_ArtNouveau,11_Deconstructivism,11.27856589,9.055419757,28.84160287,17.55629348,36.87648709,5.043129835,85.4372561,154,0.275061432,0.204841856,0.344654759,0.58217112,0.306983143
HotelTassel&AntwerpPortHouse,07_ArtNouveau,11_Deconstructivism,30.13998035,10.96954076,31.18755074,12.73564911,55.22192711,5.966774118,93.74676347,103,0.27661052,0.260363042,0.423395932,0.506498252,0.454607129
HotelTassel&CctvHeadquarter,07_ArtNouveau,11_Deconstructivism,26.87214798,8.345418025,27.70651556,14.00827601,53.24999275,6.753900994,88.01879287,852,0.252903033,0.307346262,0.472125578,0.335512147,0.220908865
HotelTassel&GuggenheimMuseum,07_ArtNouveau,11_Deconstructivism,30.42511913,12.02815135,25.72794344,11.64839961,45.03176878,5.877941859,91.47647023,137,0.190474354,0.337127194,0.327649027,0.471734168,0.330259323
HotelTassel&JewishMuseum,07_ArtNouveau,11_Deconstructivism,26.10882324,11.21775891,34.05807323,8.889014058,54.52752996,6.316827621,87.56529093,151,0.256045252,0.321656343,0.347047746,0.433117387,0.300459176
SecessionBulding&AntwerpPortHouse,07_ArtNouveau,11_Deconstructivism,34.06723209,11.69253967,46.28011246,6.634074459,56.08035536,4.685296886,87.02278137,103,0.288016632,0.33032196,0.445939774,0.501246434,0.270792812
SecessionBulding&CctvHeadquarter,07_ArtNouveau,11_Deconstructivism,32.87969231,13.59371267,35.88700703,10.31199714,55.59264553,5.062031786,83.50508809,852,0.226747248,0.309737198,0.470657438,0.47125607,0.17428267
SecessionBulding&GuggenheimMuseum,07_ArtNouveau,11_Deconstructivism,33.89863608,12.16409563,40.04941761,8.861911155,45.47574562,4.431167839,85.26158929,137,0.221470047,0.314269237,0.347629309,0.445421228,0.262242913
SecessionBulding&JewishMuseum,07_ArtNouveau,11_Deconstructivism,23.92709958,10.75092067,51.13998337,9.307118471,57.1387155,4.719543597,86.53671145,151,0.277242046,0.394962609,0.400402551,0.441264242,0.457536817
Bergpolderflat&FagusFactory,08_EarlyModernism,08_EarlyModernism,29.66887117,13.01165064,42.9799695,10.74055108,37.27165148,4.735676838,83.17053914,61,0.404006641,0.447630703,0.562866703,0.462250164,0.381449431
Bergpolderflat&Tugendhat,08_EarlyModernism,08_EarlyModernism,24.36616291,14.599689,44.55423505,10.38151183,35.40144122,4.868845212,78.90377045,25,0.430306397,0.347816646,0.45124732,0.480128761,0.425728858
Bergpolderflat&Zonnestraal,08_EarlyModernism,08_EarlyModernism,29.172156,15.17747928,43.8338664,10.25075897,43.32117905,4.069095571,82.8832984,169,0.368960559,0.446211815,0.500201777,0.577350269,0.43962875
FagusFactory&Tugendhat,08_EarlyModernism,08_EarlyModernism,31.61931296,10.85620859,39.65572242,7.917107052,41.39540047,5.153458061,93.51714253,58,0.389337055,0.390910946,0.572071537,0.497611941,0.359144747
FagusFactory&Zonnestraal,08_EarlyModernism,08_EarlyModernism,37.96426052,9.863182518,36.78753151,7.117308968,60.94056366,3.352504691,93.3844924,164,0.375604607,0.431660131,0.574841417,0.55155253,0.312169552
Tugendhat&Zonnestraal,08_EarlyModernism,08_EarlyModernism,32.71603069,15.41608393,40.70274818,6.198923257,39.17356638,3.945536938,93.03404689,166,0.472885519,0.369285598,0.562493831,0.634647759,0.446473479
Bergpolderflat&Chilehaus,08_EarlyModernism,09_Expressionist,28.31932099,10.65180313,35.44720231,14.49278163,44.4834242,4.247726413,80.7556808,165,0.483456671,0.303818393,0.449787296,0.502835355,0.372156352
Bergpolderflat&EinsteinTower,08_EarlyModernism,09_Expressionist,27.22039864,11.81323566,46.05301915,12.08891486,34.37823505,5.072094923,69.0708518,28,0.256163325,0.422998421,0.483502249,0.592748978,0.300864369
